;;;Enhed;År;;;;;;;;;;Vinter;;;;;;;;;;Forår;;;;;;;;;;Sommer;;;;;;;;;;Efterår;;;;;;;;;
Danmark;;;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;
;;;;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil
Døgn med over 20 mm nedbør;Mellem CO2-niveau (RCP4.5);Absolutte;døgn;2,97;3,37;2,92;3,98;3,75;3,24;4,29;3,84;3,27;4,64;0,27;0,40;0,23;0,55;0,45;0,30;0,62;0,50;0,32;0,68;0,26;0,31;0,17;0,47;0,33;0,20;0,50;0,41;0,25;0,56;1,35;1,52;1,12;1,93;1,66;1,33;2,13;1,63;1,29;2,22;1,05;1,16;0,83;1,51;1,23;0,95;1,62;1,29;0,96;1,65
;;Ændring;%;;15,06;-4,52;38,95;27,08;6,08;49,55;31,00;3,48;73,41;;33,17;-23,00;106,50;42,12;-13,27;116,24;63,63;-16,64;124,72;;24,76;-36,99;115,39;31,59;-26,85;125,53;54,72;-2,48;168,70;;10,82;-17,87;45,27;22,11;-5,37;57,76;22,44;-10,69;69,84;;14,15;-18,48;52,43;22,56;-8,76;62,15;28,63;-5,48;74,80
;Højt CO2-niveau (RCP8.5);Absolutte;døgn;2,97;3,40;3,03;3,87;3,89;3,40;4,52;4,76;4,04;5,56;0,27;0,34;0,24;0,49;0,46;0,33;0,66;0,71;0,51;1,00;0,26;0,32;0,22;0,45;0,42;0,29;0,58;0,56;0,39;0,75;1,35;1,57;1,29;1,85;1,62;1,29;2,04;1,72;1,32;2,40;1,05;1,16;0,93;1,40;1,37;1,03;1,69;1,69;1,35;2,05
;;Ændring;%;;15,87;-1,37;38,04;32,19;12,59;59,65;61,02;32,66;101,04;;21,33;-26,55;112,28;75,08;16,13;197,79;158,08;71,19;332,68;;23,88;-23,62;100,50;63,47;0,81;168,35;108,96;39,31;240,12;;15,33;-7,70;44,20;20,93;-7,90;55,21;29,57;-7,87;86,55;;12,19;-16,28;50,63;30,95;-0,26;74,20;65,49;29,31;111,66
Skybrud;Mellem CO2-niveau (RCP4.5);Absolutte;hændelser /år;0,33;0,42;0,29;0,58;0,44;0,33;0,63;0,48;0,36;0,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ændring;%;;23,80;-11,84;78,72;31,93;-0,44;90,12;43,89;7,33;106,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Højt CO2-niveau (RCP8.5);Absolutte;hændelser /år;0,33;0,42;0,30;0,56;0,47;0,35;0,62;0,57;0,39;0,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ændring;%;;25,74;-5,49;62,13;40,91;5,67;86,03;69,00;20,01;147,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antal tørre dage;Mellem CO2-niveau (RCP4.5);Absolutte;døgn;236,76;234,75;225,21;240,77;236,86;226,94;242,49;235,57;224,36;241,79;54,80;54,67;49,96;57,27;54,56;49,73;57,04;53,54;49,57;56,88;66,41;65,64;62,53;67,17;65,43;63,53;68,17;65,12;62,33;66,97;60,93;60,49;56,51;64,40;60,92;57,09;64,98;61,88;56,56;64,97;54,55;54,63;51,32;56,90;55,05;52,37;57,94;55,34;52,28;57,86
;;Ændring;%;;-0,57;-3,83;1,95;0,27;-3,27;2,50;-0,34;-4,35;2,60;;-0,80;-7,25;4,99;-0,89;-8,40;3,83;-1,70;-8,66;3,58;;-1,23;-5,26;3,04;-0,36;-4,85;3,44;-1,88;-6,07;2,22;;0,10;-7,00;5,65;0,44;-5,68;6,97;1,31;-7,67;7,78;;0,30;-5,74;5,75;1,51;-4,78;6,71;1,81;-4,77;6,73
